"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","UNEMP","TOT","PC_LF","Q","1979-Q4",7.233333,
"CAN","UNEMP","TOT","PC_LF","Q","1980-Q1",7.566667,
"CAN","UNEMP","TOT","PC_LF","Q","1980-Q2",7.733333,
"CAN","UNEMP","TOT","PC_LF","Q","1980-Q3",7.533333,
"CAN","UNEMP","TOT","PC_LF","Q","1980-Q4",7.233333,
"CAN","UNEMP","TOT","PC_LF","Q","1981-Q1",7.4,
"CAN","UNEMP","TOT","PC_LF","Q","1981-Q2",7.2,
"CAN","UNEMP","TOT","PC_LF","Q","1981-Q3",7.466667,
"CAN","UNEMP","TOT","PC_LF","Q","1981-Q4",8.433333,
"CAN","UNEMP","TOT","PC_LF","Q","1982-Q1",8.933333,
"CAN","UNEMP","TOT","PC_LF","Q","1982-Q2",10.43333,
"CAN","UNEMP","TOT","PC_LF","Q","1982-Q3",12.16667,
"CAN","UNEMP","TOT","PC_LF","Q","1982-Q4",12.93333,
"CAN","UNEMP","TOT","PC_LF","Q","1983-Q1",12.6,
"CAN","UNEMP","TOT","PC_LF","Q","1983-Q2",12.46667,
"CAN","UNEMP","TOT","PC_LF","Q","1983-Q3",11.76667,
"CAN","UNEMP","TOT","PC_LF","Q","1983-Q4",11.2,
"CAN","UNEMP","TOT","PC_LF","Q","1984-Q1",11.26667,
"CAN","UNEMP","TOT","PC_LF","Q","1984-Q2",11.5,
"CAN","UNEMP","TOT","PC_LF","Q","1984-Q3",11.36667,
"CAN","UNEMP","TOT","PC_LF","Q","1984-Q4",11.3,
"CAN","UNEMP","TOT","PC_LF","Q","1985-Q1",10.93333,
"CAN","UNEMP","TOT","PC_LF","Q","1985-Q2",10.76667,
"CAN","UNEMP","TOT","PC_LF","Q","1985-Q3",10.46667,
"CAN","UNEMP","TOT","PC_LF","Q","1985-Q4",10.36667,
"CAN","UNEMP","TOT","PC_LF","Q","1986-Q1",9.966666,
"CAN","UNEMP","TOT","PC_LF","Q","1986-Q2",9.733334,
"CAN","UNEMP","TOT","PC_LF","Q","1986-Q3",9.6,
"CAN","UNEMP","TOT","PC_LF","Q","1986-Q4",9.466666,
"CAN","UNEMP","TOT","PC_LF","Q","1987-Q1",9.5,
"CAN","UNEMP","TOT","PC_LF","Q","1987-Q2",9,
"CAN","UNEMP","TOT","PC_LF","Q","1987-Q3",8.6,
"CAN","UNEMP","TOT","PC_LF","Q","1987-Q4",8.133333,
"CAN","UNEMP","TOT","PC_LF","Q","1988-Q1",7.866667,
"CAN","UNEMP","TOT","PC_LF","Q","1988-Q2",7.7,
"CAN","UNEMP","TOT","PC_LF","Q","1988-Q3",7.866667,
"CAN","UNEMP","TOT","PC_LF","Q","1988-Q4",7.633333,
"CAN","UNEMP","TOT","PC_LF","Q","1989-Q1",7.533333,
"CAN","UNEMP","TOT","PC_LF","Q","1989-Q2",7.666667,
"CAN","UNEMP","TOT","PC_LF","Q","1989-Q3",7.433333,
"CAN","UNEMP","TOT","PC_LF","Q","1989-Q4",7.5,
"CAN","UNEMP","TOT","PC_LF","Q","1990-Q1",7.633333,
"CAN","UNEMP","TOT","PC_LF","Q","1990-Q2",7.666667,
"CAN","UNEMP","TOT","PC_LF","Q","1990-Q3",8.166667,
"CAN","UNEMP","TOT","PC_LF","Q","1990-Q4",9.133333,
"CAN","UNEMP","TOT","PC_LF","Q","1991-Q1",10.16667,
"CAN","UNEMP","TOT","PC_LF","Q","1991-Q2",10.33333,
"CAN","UNEMP","TOT","PC_LF","Q","1991-Q3",10.43333,
"CAN","UNEMP","TOT","PC_LF","Q","1991-Q4",10.33333,
"CAN","UNEMP","TOT","PC_LF","Q","1992-Q1",10.6,
"CAN","UNEMP","TOT","PC_LF","Q","1992-Q2",11,
"CAN","UNEMP","TOT","PC_LF","Q","1992-Q3",11.53333,
"CAN","UNEMP","TOT","PC_LF","Q","1992-Q4",11.73333,
"CAN","UNEMP","TOT","PC_LF","Q","1993-Q1",11.13333,
"CAN","UNEMP","TOT","PC_LF","Q","1993-Q2",11.63333,
"CAN","UNEMP","TOT","PC_LF","Q","1993-Q3",11.43333,
"CAN","UNEMP","TOT","PC_LF","Q","1993-Q4",11.3,
"CAN","UNEMP","TOT","PC_LF","Q","1994-Q1",11.03333,
"CAN","UNEMP","TOT","PC_LF","Q","1994-Q2",10.63333,
"CAN","UNEMP","TOT","PC_LF","Q","1994-Q3",10.13333,
"CAN","UNEMP","TOT","PC_LF","Q","1994-Q4",9.766666,
"CAN","UNEMP","TOT","PC_LF","Q","1995-Q1",9.633333,
"CAN","UNEMP","TOT","PC_LF","Q","1995-Q2",9.5,
"CAN","UNEMP","TOT","PC_LF","Q","1995-Q3",9.433333,
"CAN","UNEMP","TOT","PC_LF","Q","1995-Q4",9.3,
"CAN","UNEMP","TOT","PC_LF","Q","1996-Q1",9.5,
"CAN","UNEMP","TOT","PC_LF","Q","1996-Q2",9.433333,
"CAN","UNEMP","TOT","PC_LF","Q","1996-Q3",9.666667,
"CAN","UNEMP","TOT","PC_LF","Q","1996-Q4",9.833333,
"CAN","UNEMP","TOT","PC_LF","Q","1997-Q1",9.433333,
"CAN","UNEMP","TOT","PC_LF","Q","1997-Q2",9.3,
"CAN","UNEMP","TOT","PC_LF","Q","1997-Q3",8.866667,
"CAN","UNEMP","TOT","PC_LF","Q","1997-Q4",8.766666,
"CAN","UNEMP","TOT","PC_LF","Q","1998-Q1",8.6,
"CAN","UNEMP","TOT","PC_LF","Q","1998-Q2",8.333333,
"CAN","UNEMP","TOT","PC_LF","Q","1998-Q3",8.2,
"CAN","UNEMP","TOT","PC_LF","Q","1998-Q4",8.033334,
"CAN","UNEMP","TOT","PC_LF","Q","1999-Q1",7.9,
"CAN","UNEMP","TOT","PC_LF","Q","1999-Q2",7.9,
"CAN","UNEMP","TOT","PC_LF","Q","1999-Q3",7.5,
"CAN","UNEMP","TOT","PC_LF","Q","1999-Q4",6.966667,
"CAN","UNEMP","TOT","PC_LF","Q","2000-Q1",6.866667,
"CAN","UNEMP","TOT","PC_LF","Q","2000-Q2",6.666667,
"CAN","UNEMP","TOT","PC_LF","Q","2000-Q3",6.9,
"CAN","UNEMP","TOT","PC_LF","Q","2000-Q4",6.9,
"CAN","UNEMP","TOT","PC_LF","Q","2001-Q1",7,
"CAN","UNEMP","TOT","PC_LF","Q","2001-Q2",7.1,
"CAN","UNEMP","TOT","PC_LF","Q","2001-Q3",7.166667,
"CAN","UNEMP","TOT","PC_LF","Q","2001-Q4",7.633333,
"CAN","UNEMP","TOT","PC_LF","Q","2002-Q1",7.933333,
"CAN","UNEMP","TOT","PC_LF","Q","2002-Q2",7.7,
"CAN","UNEMP","TOT","PC_LF","Q","2002-Q3",7.5,
"CAN","UNEMP","TOT","PC_LF","Q","2002-Q4",7.533333,
"CAN","UNEMP","TOT","PC_LF","Q","2003-Q1",7.4,
"CAN","UNEMP","TOT","PC_LF","Q","2003-Q2",7.666667,
"CAN","UNEMP","TOT","PC_LF","Q","2003-Q3",7.766667,
"CAN","UNEMP","TOT","PC_LF","Q","2003-Q4",7.466667,
"CAN","UNEMP","TOT","PC_LF","Q","2004-Q1",7.333333,
"CAN","UNEMP","TOT","PC_LF","Q","2004-Q2",7.166667,
"CAN","UNEMP","TOT","PC_LF","Q","2004-Q3",7,
"CAN","UNEMP","TOT","PC_LF","Q","2004-Q4",7.133333,
"CAN","UNEMP","TOT","PC_LF","Q","2005-Q1",6.933333,
"CAN","UNEMP","TOT","PC_LF","Q","2005-Q2",6.866667,
"CAN","UNEMP","TOT","PC_LF","Q","2005-Q3",6.7,
"CAN","UNEMP","TOT","PC_LF","Q","2005-Q4",6.533333,
"CAN","UNEMP","TOT","PC_LF","Q","2006-Q1",6.466667,
"CAN","UNEMP","TOT","PC_LF","Q","2006-Q2",6.166667,
"CAN","UNEMP","TOT","PC_LF","Q","2006-Q3",6.4,
"CAN","UNEMP","TOT","PC_LF","Q","2006-Q4",6.133333,
"CAN","UNEMP","TOT","PC_LF","Q","2007-Q1",6.166667,
